13/07/2018 11.00.23	Windas.NET avviato
13/07/2018 11.01.03	Windas.NET avviato
13/07/2018 11.06.14	Windas.NET avviato
13/07/2018 11.09.45	Windas.NET avviato
13/07/2018 14.45.03	Windas.NET avviato
13/07/2018 14.46.32	Windas.NET avviato
13/07/2018 14.48.33	Windas.NET avviato
13/07/2018 14.48.58	ConfigurazioneAggiornaDati: query aggiornamento configurazione su localhost\SQLEXPRESS non eseguita correttamente
13/07/2018 14.49.54	Windas.NET avviato
13/07/2018 14.50.37	Windas.NET avviato
13/07/2018 14.53.33	Windas.NET avviato
13/07/2018 14.59.36	Windas.NET avviato
13/07/2018 15.01.55	Windas.NET avviato
13/07/2018 15.03.37	Windas.NET avviato
13/07/2018 15.04.49	Windas.NET avviato
13/07/2018 15.08.27	Windas.NET avviato
13/07/2018 15.09.38	Windas.NET avviato
13/07/2018 15.15.32	Windas.NET avviato
13/07/2018 15.44.37	Windas.NET avviato
13/07/2018 15.48.21	Windas.NET avviato
13/07/2018 15.48.39	Windas.NET avviato
13/07/2018 15.50.51	Windas.NET avviato
13/07/2018 15.51.50	Windas.NET avviato
13/07/2018 15.53.26	Windas.NET avviato
13/07/2018 15.53.48	Windas.NET avviato
13/07/2018 15.55.56	Windas.NET avviato
13/07/2018 15.56.34	Windas.NET avviato
13/07/2018 15.58.12	Windas.NET avviato
13/07/2018 16.04.58	Windas.NET avviato
13/07/2018 16.05.17	Windas.NET avviato
13/07/2018 16.05.36	Windas.NET avviato
13/07/2018 16.12.25	Windas.NET avviato
13/07/2018 16.17.45	Windas.NET avviato
13/07/2018 16.21.05	Windas.NET avviato
13/07/2018 16.22.22	ConfigurazioneAggiornaDati: query aggiornamento configurazione su PCSME1\SQLEXPRESS non eseguita correttamente
13/07/2018 16.22.23	ConfigurazioneAggiornaDati: query aggiornamento configurazione su PCSME1\SQLEXPRESS non eseguita correttamente
13/07/2018 16.22.23	ConfigurazioneAggiornaDati: query aggiornamento configurazione su PCSME1\SQLEXPRESS non eseguita correttamente
13/07/2018 16.22.23	ConfigurazioneAggiornaDati: query aggiornamento configurazione su PCSME1\SQLEXPRESS non eseguita correttamente
13/07/2018 16.22.23	ConfigurazioneAggiornaDati: query aggiornamento configurazione su PCSME1\SQLEXPRESS non eseguita correttamente
13/07/2018 16.22.23	ConfigurazioneAggiornaDati: query aggiornamento configurazione su PCSME1\SQLEXPRESS non eseguita correttamente
13/07/2018 16.22.23	ConfigurazioneAggiornaDati: query aggiornamento configurazione su PCSME1\SQLEXPRESS non eseguita correttamente
13/07/2018 16.22.23	ConfigurazioneAggiornaDati: query aggiornamento configurazione su PCSME1\SQLEXPRESS non eseguita correttamente
13/07/2018 16.22.23	ConfigurazioneAggiornaDati: query aggiornamento configurazione su PCSME1\SQLEXPRESS non eseguita correttamente
13/07/2018 16.22.23	ConfigurazioneAggiornaDati: query aggiornamento configurazione su PCSME1\SQLEXPRESS non eseguita correttamente
13/07/2018 16.22.29	Windas.NET avviato
13/07/2018 16.22.54	ConfigurazioneAggiornaDati: query aggiornamento configurazione su PCSME1\SQLEXPRESS non eseguita correttamente
13/07/2018 16.22.54	ConfigurazioneAggiornaDati: query aggiornamento configurazione su PCSME1\SQLEXPRESS non eseguita correttamente
13/07/2018 16.22.54	ConfigurazioneAggiornaDati: query aggiornamento configurazione su PCSME1\SQLEXPRESS non eseguita correttamente
13/07/2018 16.22.54	ConfigurazioneAggiornaDati: query aggiornamento configurazione su PCSME1\SQLEXPRESS non eseguita correttamente
13/07/2018 16.22.54	ConfigurazioneAggiornaDati: query aggiornamento configurazione su PCSME1\SQLEXPRESS non eseguita correttamente
13/07/2018 16.22.54	ConfigurazioneAggiornaDati: query aggiornamento configurazione su PCSME1\SQLEXPRESS non eseguita correttamente
13/07/2018 16.22.54	ConfigurazioneAggiornaDati: query aggiornamento configurazione su PCSME1\SQLEXPRESS non eseguita correttamente
13/07/2018 16.22.54	ConfigurazioneAggiornaDati: query aggiornamento configurazione su PCSME1\SQLEXPRESS non eseguita correttamente
13/07/2018 16.22.54	ConfigurazioneAggiornaDati: query aggiornamento configurazione su PCSME1\SQLEXPRESS non eseguita correttamente
13/07/2018 16.22.54	ConfigurazioneAggiornaDati: query aggiornamento configurazione su PCSME1\SQLEXPRESS non eseguita correttamente
13/07/2018 16.22.54	ConfigurazioneAggiornaDati: query aggiornamento configurazione su PCSME1\SQLEXPRESS non eseguita correttamente
13/07/2018 16.23.25	Windas.NET avviato
