11/07/2018 16.20.19	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.20.20	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.20.20	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.20.20	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.20.20	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.20.21	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.20.21	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.20.21	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.20.21	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.20.22	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.20.22	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.20.22	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.20.22	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.20.23	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.20.23	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.20.23	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.20.23	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.20.24	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.20.24	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.20.24	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.20.24	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.20.25	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.20.25	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.20.25	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.20.25	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.20.26	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.20.26	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.20.26	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.20.26	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.01	GestioneComboLinea errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.05	Linea.CaricaMisure errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
